feature,coefficient
categorical__predominant_degree_label_Graduate,2.5059388507439486
categorical__dominant_program_Social Science & Public Service,1.619841792183007
numeric__net_price,1.3951795564705656
categorical__region_label_New England,1.3000799915668744
categorical__dominant_program_Education,1.1520168854088633
categorical__region_label_Mid East,1.0520024202013596
categorical__locale_label_Town,0.7350104468445097
categorical__locale_label_Rural,0.6395387746413643
categorical__control_label_Private for-profit,0.6098801478410065
numeric__PCTPELL,0.4536015956196643
categorical__region_label_Southeast,0.41418304014603824
numeric__completion_rate,0.40907230369842723
categorical__dominant_program_Trades & Applied,0.30507493225460564
categorical__predominant_degree_label_Associate's,0.23862401175279913
categorical__control_label_Private nonprofit,0.21073703637881147
categorical__region_label_Great Lakes,0.11401250976414241
categorical__region_label_Far West,0.09910505049555965
numeric__RET_FTL4,0.09359393163104425
numeric__saipe_mhi,0.0641347925231873
categorical__locale_label_Other/Unknown,0.04522377202150729
categorical__predominant_degree_label_Not classified,0.04522377202150729
numeric__RET_FT4,0.029788098229911235
numeric__UG25ABV,0.006091669175779568
categorical__region_label_U.S. Service Schools,-0.006710098115920989
categorical__region_label_Southwest,-0.06317793443902954
numeric__saipe_poverty_pct,-0.101563905515317
numeric__AVGFACSAL,-0.11683617503999148
numeric__MD_EARN_WNE_P10,-0.22439864796708617
numeric__diversity_index,-0.23337952995862976
categorical__region_label_Rocky Mountains,-0.24381418218816442
categorical__locale_label_City,-0.24994421742999953
categorical__predominant_degree_label_Certificates,-0.3412170624924152
categorical__dominant_program_Humanities,-0.381169472237709
categorical__dominant_program_Health,-0.4146216581923324
numeric__tuition_avg,-0.5795170128097612
categorical__dominant_program_STEM,-0.5972629055329234
numeric__PCTFLOAN,-0.848562934198315
categorical__control_label_Public,-0.8951608161694612
categorical__region_label_Outlying Areas,-1.101087619565584
categorical__locale_label_Suburb,-1.2443724080267358
categorical__region_label_Plains,-1.6391368098147774
categorical__dominant_program_Business,-1.7584232058330012
numeric__cost_to_income_ratio,-1.9022730299869224
categorical__predominant_degree_label_Bachelor's,-2.523113203975458
numeric__UGDS,-3.2726033581328804
